Data,quantidadeObitos,situacaoComorbidade,descComorbidade
2020-03-24,3,Sim,Doença Cardiovascular Crônica
2020-03-24,2,Sim,Diabetes mellitus
2020-03-24,1,Sim,Outra Pneumopatia Crônica
2020-03-25,5,Sim,Doença Cardiovascular Crônica
2020-03-25,4,Sim,Diabetes mellitus
2020-03-25,1,Sim,Outra Pneumopatia Crônica
2020-03-26,7,Sim,Doença Cardiovascular Crônica
2020-03-26,5,Sim,Diabetes mellitus
2020-03-26,1,Sim,Outra Pneumopatia Crônica
2020-03-27,9,Sim,Doença Cardiovascular Crônica
2020-03-27,5,Sim,Diabetes mellitus
2020-03-27,1,Sim,Outra Pneumopatia Crônica
2020-03-28,11,Sim,Doença Cardiovascular Crônica
2020-03-28,7,Sim,Diabetes mellitus
2020-03-28,2,Sim,Outra Pneumopatia Crônica
2020-03-29,13,Sim,Doença Cardiovascular Crônica
2020-03-29,7,Sim,Diabetes mellitus
2020-03-29,2,Sim,Outra Pneumopatia Crônica
2020-03-29,1,Sim,Doença Neurológica Crônica
2020-03-30,16,Sim,Doença Cardiovascular Crônica
2020-03-30,7,Sim,Diabetes mellitus
2020-03-30,2,Sim,Doença Neurológica Crônica
2020-03-30,2,Sim,Outra Pneumopatia Crônica
2020-03-30,1,Sim,Doença Renal Crônica
2020-03-31,19,Sim,Doença Cardiovascular Crônica
2020-03-31,10,Sim,Diabetes mellitus
2020-03-31,2,Sim,Doença Neurológica Crônica
2020-03-31,2,Sim,Outra Pneumopatia Crônica
2020-03-31,1,Sim,Doença Renal Crônica
2020-04-01,21,Sim,Doença Cardiovascular Crônica
2020-04-01,11,Sim,Diabetes mellitus
2020-04-01,2,Sim,Doença Neurológica Crônica
2020-04-01,2,Sim,Outra Pneumopatia Crônica
2020-04-01,1,Sim,Doença Renal Crônica
2020-04-02,24,Sim,Doença Cardiovascular Crônica
2020-04-02,14,Sim,Diabetes mellitus
2020-04-02,3,Sim,Doença Neurológica Crônica
2020-04-02,3,Sim,Doença Renal Crônica
2020-04-02,2,Sim,Outra Pneumopatia Crônica
2020-04-03,28,Sim,Doença Cardiovascular Crônica
2020-04-03,16,Sim,Diabetes mellitus
2020-04-03,3,Sim,Doença Neurológica Crônica
2020-04-03,3,Sim,Doença Renal Crônica
2020-04-03,3,Sim,Outra Pneumopatia Crônica
2020-04-03,1,Sim,Asma
2020-04-04,31,Sim,Doença Cardiovascular Crônica
2020-04-04,19,Sim,Diabetes mellitus
2020-04-04,6,Sim,Outra Pneumopatia Crônica
2020-04-04,3,Sim,Doença Neurológica Crônica
