Data,faixaEtaria,quantidadeObitos,sexo
2020-03-24,40 a 44 anos,1,Feminino
2020-03-24,80 anos ou mais,1,Feminino
2020-03-25,40 a 44 anos,1,Feminino
2020-03-25,65 a 69 anos,1,Masculino
2020-03-25,80 anos ou mais,1,Feminino
2020-03-26,40 a 44 anos,1,Feminino
2020-03-26,65 a 69 anos,1,Masculino
2020-03-26,70 a 74 anos,1,Masculino
2020-03-26,80 anos ou mais,1,Masculino
2020-03-26,80 anos ou mais,2,Feminino
2020-03-27,40 a 44 anos,1,Feminino
2020-03-27,45 a 49 anos,1,Masculino
2020-03-27,65 a 69 anos,1,Masculino
2020-03-27,70 a 74 anos,1,Masculino
2020-03-27,80 anos ou mais,2,Masculino
2020-03-27,80 anos ou mais,3,Feminino
2020-03-28,40 a 44 anos,1,Feminino
2020-03-28,45 a 49 anos,1,Masculino
2020-03-28,60 a 64 anos,1,Feminino
2020-03-28,65 a 69 anos,1,Masculino
2020-03-28,70 a 74 anos,2,Masculino
2020-03-28,80 anos ou mais,2,Masculino
2020-03-28,80 anos ou mais,3,Feminino
2020-03-29,40 a 44 anos,1,Masculino
2020-03-29,40 a 44 anos,1,Feminino
2020-03-29,45 a 49 anos,1,Masculino
2020-03-29,60 a 64 anos,1,Masculino
2020-03-29,60 a 64 anos,1,Feminino
2020-03-29,65 a 69 anos,1,Masculino
2020-03-29,70 a 74 anos,2,Masculino
2020-03-29,75 a 79 anos,1,Masculino
2020-03-29,80 anos ou mais,2,Masculino
2020-03-29,80 anos ou mais,3,Feminino
2020-03-30,0 a 4 anos,1,Masculino
2020-03-30,35 a 39 anos,1,Masculino
2020-03-30,40 a 44 anos,1,Masculino
2020-03-30,40 a 44 anos,1,Feminino
2020-03-30,45 a 49 anos,1,Masculino
2020-03-30,60 a 64 anos,1,Masculino
2020-03-30,60 a 64 anos,1,Feminino
2020-03-30,65 a 69 anos,1,Masculino
2020-03-30,70 a 74 anos,2,Masculino
2020-03-30,75 a 79 anos,1,Masculino
2020-03-30,75 a 79 anos,1,Feminino
2020-03-30,80 anos ou mais,2,Masculino
2020-03-30,80 anos ou mais,3,Feminino
2020-03-31,0 a 4 anos,1,Masculino
2020-03-31,35 a 39 anos,1,Masculino
