faixaEtaria,quantidade,sexo
15 a 19 anos,1,Masculino
25 a 29 anos,1,Masculino
30 a 34 anos,1,Masculino
40 a 44 anos,3,Masculino
40 a 44 anos,2,Feminino
45 a 49 anos,5,Masculino
45 a 49 anos,3,Feminino
50 a 54 anos,4,Masculino
50 a 54 anos,2,Feminino
55 a 59 anos,2,Masculino
55 a 59 anos,1,Feminino
60 a 64 anos,2,Masculino
60 a 64 anos,1,Feminino
65 a 69 anos,5,Masculino
65 a 69 anos,3,Feminino
70 a 74 anos,1,Masculino
70 a 74 anos,3,Feminino
75 a 79 anos,3,Masculino
75 a 79 anos,3,Feminino
80 anos ou mais,3,Masculino
80 anos ou mais,1,Feminino
faixaEtaria,quantidade,sexo
15 a 19 anos,1,Masculino
25 a 29 anos,1,Masculino
30 a 34 anos,1,Masculino
40 a 44 anos,4,Masculino
40 a 44 anos,2,Feminino
45 a 49 anos,5,Masculino
45 a 49 anos,3,Feminino
50 a 54 anos,4,Masculino
50 a 54 anos,2,Feminino
55 a 59 anos,2,Masculino
55 a 59 anos,1,Feminino
60 a 64 anos,2,Masculino
60 a 64 anos,1,Feminino
65 a 69 anos,5,Masculino
65 a 69 anos,3,Feminino
70 a 74 anos,1,Masculino
70 a 74 anos,3,Feminino
75 a 79 anos,3,Masculino
75 a 79 anos,3,Feminino
80 anos ou mais,3,Masculino
80 anos ou mais,1,Feminino
