Data,Casos confirmados,Total obitos,Letalidade (%),Media Obitos por Dia,Comorbidade (%),Idade media obito,Idade mediana obito,Obitos suspeitos,Dias entre inicio sintomas ate internacao,Dias entre inicio sintomas ate resultado do exame,Dias entre inicio sintomas ate obito,Obitos no hospital,Obitos na residencia,Obitos sem informacao local
2020-03-24,1401,3,0.21,0.06,100,68.96,84.0,0,,,36.0,0,0,0
2020-03-25,1585,5,0.32,0.11,100,68.96,83.0,0,,,20.0,0,0,0
2020-03-26,1759,8,0.45,0.17,87.5,68.96,83.5,0,,20.0,,0,0,0
2020-03-27,1902,11,0.58,0.23,81.82,68.96,84.0,0,6.0,11.75,9.0,0,0,0
2020-03-28,2008,13,0.65,0.28,84.62,68.96,83.0,0,6.0,11.75,9.0,0,0,0
2020-03-29,2102,17,0.81,0.36,82.35,68.96,74.0,0,4.5,12.25,9.13,0,0,0
2020-03-30,2240,21,0.94,0.45,80.95,68.96,77.0,0,4.5,9.55,13.8,0,0,0
2020-03-31,2356,24,1.02,0.51,83.33,68.96,75.5,0,4.5,12.57,8.64,0,0,0
2020-04-01,2557,26,1.02,0.55,84.62,68.96,76.0,0,4.5,9.4,12.57,0,0,0
2020-04-02,2697,35,1.3,0.74,74.29,68.96,75.0,0,3.38,12.73,9.18,0,0,0
2020-04-03,2820,44,1.56,0.94,70.45,68.96,75.0,0,4.85,13.0,9.47,0,0,0
2020-04-04,2974,51,1.71,1.09,74.51,68.96,74.0,0,5.0,8.86,12.27,0,0,0
2020-04-05,3124,59,1.89,1.26,77.97,68.96,74.0,2,5.16,9.33,13.52,0,0,0
2020-04-06,3304,71,2.15,1.51,78.87,68.96,74.0,2,5.65,9.38,13.41,0,0,0
2020-04-07,3508,78,2.22,1.66,80.77,68.96,73.5,2,5.72,9.25,12.77,0,0,0
2020-04-08,3743,85,2.27,1.81,82.35,68.96,73.0,3,5.8100000000000005,9.48,12.78,0,0,0
2020-04-09,3991,97,2.43,2.06,80.41,68.96,74.0,5,5.83,12.68,9.28,0,0,0
2020-04-10,4324,109,2.52,2.32,80.73,68.96,74.0,5,6.89,9.9,13.37,0,0,0
2020-04-11,4629,122,2.64,2.6,80.33,68.96,74.0,6,7.21,10.12,13.36,0,0,0
2020-04-12,4940,136,2.75,2.89,80.15,68.96,74.0,6,7.57,10.22,13.51,0,0,0
2020-04-13,5319,143,2.69,3.04,78.32,68.96,73.0,6,7.45,13.31,10.44,0,0,0
2020-04-14,5648,163,2.89,3.47,79.75,68.96,73.0,6,7.48,12.72,10.91,0,0,0
2020-04-15,5974,180,3.01,3.83,80,68.96,71.0,9,7.31,12.47,10.79,0,0,0
2020-04-16,6260,195,3.12,4.15,81.03,68.96,72.0,12,7.15,10.82,12.48,0,0,0
2020-04-17,6545,217,3.32,4.62,80.65,68.96,72.0,15,6.88,11.03,12.3,0,0,0
2020-04-18,6766,230,3.4,4.89,80.43,68.96,72.0,24,6.95,11.11,12.38,0,0,0
2020-04-19,6975,253,3.63,5.38,79.84,68.96,72.0,31,6.86,12.18,11.11,0,0,0
2020-04-20,7266,280,3.85,5.96,79.64,68.96,72.0,35,6.51,11.48,12.2,0,0,0
2020-04-21,7428,304,4.09,6.47,77.96,68.96,72.0,40,6.64,11.61,12.15,0,0,0
2020-04-22,7593,325,4.28,6.91,77.85,68.96,72.0,46,6.67,11.45,11.92,0,0,0
2020-04-23,7693,345,4.48,7.34,77.97,68.96,72.0,49,7.04,12.09,11.5,0,0,0
2020-04-24,7791,381,4.89,8.11,77.17,68.96,72.0,59,6.98,11.81,11.46,0,0,0
2020-04-25,7846,410,5.23,8.72,76.1,68.96,72.0,68,7.05,11.54,11.84,0,0,0
2020-04-26,7898,448,5.67,9.53,75.22,68.96,72.0,86,6.84,11.41,11.68,0,0,0
2020-04-27,7918,469,5.92,9.98,75.27,68.96,72.0,104,6.86,11.47,11.68,0,0,0
2020-04-28,7946,490,6.17,10.43,75.51,68.96,72.0,125,6.78,11.54,11.62,0,0,0
2020-04-29,7976,510,6.39,10.85,75.49,68.96,72.0,165,6.71,11.57,11.58,0,0,0
2020-04-30,8000,524,6.55,11.15,75.19,68.96,72.0,192,6.74,11.54,11.68,0,0,0
2020-05-01,8000,526,6.58,11.19,75.1,68.96,72.0,199,6.76,11.52,11.71,0,0,0
