Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Estado
2020-03-02,457,0,0,2,2,1,0,CE
2020-03-03,463,0,0,2,2,1,0,CE
2020-03-04,466,0,0,4,2,1,0,CE
2020-03-05,467,0,0,4,2,1,0,CE
2020-03-06,474,0,0,5,2,1,0,CE
2020-03-07,478,0,0,11,2,1,0,CE
2020-03-08,479,0,0,12,2,1,0,CE
2020-03-09,482,0,0,15,2,1,0,CE
2020-03-10,489,0,0,16,2,1,0,CE
2020-03-11,493,0,0,31,2,1,0,CE
2020-03-12,505,0,0,35,2,1,0,CE
2020-03-13,530,0,0,37,2,1,0,CE
2020-03-14,544,0,0,57,3,2,0,CE
2020-03-15,556,0,0,66,3,2,0,CE
2020-03-16,628,0,0,103,7,3,0,CE
2020-03-17,685,0,0,162,27,4,0,CE
2020-03-18,908,0,1,227,31,4,0,CE
2020-03-19,1063,0,1,335,59,5,0,CE
2020-03-20,1317,2,1,497,87,6,0,CE
2020-03-21,1646,4,1,597,121,6,0,CE
2020-03-22,2015,10,1,699,157,7,0,CE
2020-03-23,2592,10,1,760,188,7,0,CE
2020-03-24,3112,10,1,873,227,8,2,CE
2020-03-25,3462,12,1,1034,257,8,3,CE
2020-03-26,3712,12,1,1369,318,9,5,CE
2020-03-27,4239,12,1,1440,361,10,8,CE
2020-03-28,4489,12,1,1533,387,11,10,CE
2020-03-29,4705,12,1,1700,421,11,13,CE
2020-03-30,5298,12,1,1846,440,13,16,CE
2020-03-31,5830,12,2,1977,470,15,18,CE
2020-04-01,6321,12,2,2140,531,17,19,CE
2020-04-02,6941,12,2,2591,663,21,26,CE
2020-04-03,7520,12,3,2742,764,23,33,CE
2020-04-04,7781,12,3,2902,838,24,39,CE
2020-04-05,8061,12,3,3149,1010,32,42,CE
2020-04-06,8712,12,6,3409,1123,42,48,CE
2020-04-07,9362,12,6,3665,1278,42,51,CE
2020-04-08,10019,12,9,3842,1390,45,55,CE
2020-04-09,10019,12,9,3854,1425,45,55,CE
