Data,faixaEtaria,quantidade,sexo
2020-03-02,35 a 39 anos,1,Feminino
2020-03-02,60 a 64 anos,1,Feminino
2020-03-03,35 a 39 anos,1,Feminino
2020-03-03,60 a 64 anos,1,Feminino
2020-03-04,35 a 39 anos,1,Feminino
2020-03-04,60 a 64 anos,1,Feminino
2020-03-05,35 a 39 anos,1,Feminino
2020-03-05,60 a 64 anos,1,Feminino
2020-03-06,35 a 39 anos,1,Feminino
2020-03-06,60 a 64 anos,1,Feminino
2020-03-07,35 a 39 anos,1,Feminino
2020-03-07,60 a 64 anos,1,Feminino
2020-03-08,35 a 39 anos,1,Feminino
2020-03-08,60 a 64 anos,1,Feminino
2020-03-09,35 a 39 anos,1,Feminino
2020-03-09,60 a 64 anos,1,Feminino
2020-03-10,35 a 39 anos,1,Feminino
2020-03-10,60 a 64 anos,1,Feminino
2020-03-11,35 a 39 anos,1,Feminino
2020-03-11,60 a 64 anos,1,Feminino
2020-03-12,35 a 39 anos,1,Feminino
2020-03-12,60 a 64 anos,1,Feminino
2020-03-13,35 a 39 anos,1,Feminino
2020-03-13,60 a 64 anos,1,Feminino
2020-03-14,35 a 39 anos,1,Feminino
2020-03-14,55 a 59 anos,1,Masculino
2020-03-14,60 a 64 anos,1,Feminino
2020-03-15,35 a 39 anos,1,Feminino
2020-03-15,55 a 59 anos,1,Masculino
2020-03-15,60 a 64 anos,1,Feminino
2020-03-16,35 a 39 anos,1,Feminino
2020-03-16,45 a 49 anos,1,Feminino
2020-03-16,50 a 54 anos,1,Masculino
2020-03-16,55 a 59 anos,1,Masculino
2020-03-16,60 a 64 anos,1,Feminino
2020-03-16,65 a 69 anos,1,Feminino
2020-03-16,65 a 69 anos,1,Masculino
2020-03-17,20 a 24 anos,2,Feminino
2020-03-17,20 a 24 anos,1,Masculino
2020-03-17,30 a 34 anos,3,Masculino
2020-03-17,35 a 39 anos,1,Feminino
2020-03-17,35 a 39 anos,1,Masculino
2020-03-17,40 a 44 anos,2,Masculino
2020-03-17,45 a 49 anos,2,Feminino
2020-03-17,50 a 54 anos,1,Feminino
2020-03-17,50 a 54 anos,3,Masculino
2020-03-17,55 a 59 anos,3,Feminino
2020-03-17,55 a 59 anos,1,Masculino
2020-03-17,60 a 64 anos,1,Feminino
2020-03-17,60 a 64 anos,1,Masculino
2020-03-17,65 a 69 anos,1,Feminino
2020-03-17,65 a 69 anos,1,Masculino
2020-03-17,80 anos ou mais,1,Feminino
2020-03-17,80 anos ou mais,2,Masculino
2020-03-18,20 a 24 anos,2,Feminino
2020-03-18,20 a 24 anos,1,Masculino
2020-03-18,30 a 34 anos,3,Masculino
2020-03-18,35 a 39 anos,1,Feminino
2020-03-18,35 a 39 anos,1,Masculino
2020-03-18,40 a 44 anos,2,Masculino
2020-03-18,45 a 49 anos,3,Feminino
2020-03-18,45 a 49 anos,1,Masculino
2020-03-18,50 a 54 anos,1,Feminino
2020-03-18,50 a 54 anos,5,Masculino
2020-03-18,55 a 59 anos,3,Feminino
2020-03-18,55 a 59 anos,1,Masculino
2020-03-18,60 a 64 anos,1,Feminino
2020-03-18,60 a 64 anos,1,Masculino
2020-03-18,65 a 69 anos,1,Feminino
2020-03-18,65 a 69 anos,1,Masculino
2020-03-18,80 anos ou mais,1,Feminino
2020-03-18,80 anos ou mais,2,Masculino
2020-03-19,0 a 4 anos,1,Feminino
2020-03-19,20 a 24 anos,4,Feminino
2020-03-19,20 a 24 anos,1,Masculino
2020-03-19,25 a 29 anos,1,Feminino
2020-03-19,25 a 29 anos,2,Masculino
2020-03-19,30 a 34 anos,2,Feminino
2020-03-19,30 a 34 anos,3,Masculino
2020-03-19,35 a 39 anos,5,Feminino
2020-03-19,35 a 39 anos,4,Masculino
2020-03-19,40 a 44 anos,2,Feminino
2020-03-19,40 a 44 anos,3,Masculino
2020-03-19,45 a 49 anos,5,Feminino
2020-03-19,45 a 49 anos,1,Masculino
2020-03-19,50 a 54 anos,2,Feminino
2020-03-19,50 a 54 anos,5,Masculino
2020-03-19,55 a 59 anos,4,Feminino
2020-03-19,55 a 59 anos,2,Masculino
2020-03-19,60 a 64 anos,3,Feminino
2020-03-19,60 a 64 anos,1,Masculino
2020-03-19,65 a 69 anos,2,Feminino
2020-03-19,65 a 69 anos,2,Masculino
2020-03-19,70 a 74 anos,1,Masculino
2020-03-19,80 anos ou mais,1,Feminino
2020-03-19,80 anos ou mais,2,Masculino
2020-03-19,Indefinido,1,Masculino
2020-03-20,0 a 4 anos,1,Feminino
2020-03-20,5 a 9 anos,1,Feminino
2020-03-20,5 a 9 anos,1,Masculino
2020-03-20,20 a 24 anos,2,Masculino
2020-03-20,20 a 24 anos,4,Feminino
2020-03-20,25 a 29 anos,2,Feminino
2020-03-20,25 a 29 anos,3,Masculino
2020-03-20,30 a 34 anos,4,Feminino
2020-03-20,30 a 34 anos,4,Masculino
2020-03-20,35 a 39 anos,7,Feminino
2020-03-20,35 a 39 anos,7,Masculino
2020-03-20,40 a 44 anos,5,Masculino
2020-03-20,40 a 44 anos,4,Feminino
2020-03-20,45 a 49 anos,5,Feminino
2020-03-20,45 a 49 anos,1,Masculino
2020-03-20,50 a 54 anos,11,Masculino
2020-03-20,50 a 54 anos,2,Feminino
2020-03-20,55 a 59 anos,3,Masculino
2020-03-20,55 a 59 anos,5,Feminino
2020-03-20,60 a 64 anos,4,Feminino
2020-03-20,60 a 64 anos,1,Masculino
2020-03-20,65 a 69 anos,2,Feminino
2020-03-20,65 a 69 anos,3,Masculino
2020-03-20,70 a 74 anos,1,Masculino
2020-03-20,75 a 79 anos,1,Masculino
2020-03-20,80 anos ou mais,1,Feminino
2020-03-20,80 anos ou mais,2,Masculino
2020-03-20,Indefinido,1,Masculino
2020-03-21,0 a 4 anos,1,Feminino
2020-03-21,5 a 9 anos,1,Feminino
2020-03-21,5 a 9 anos,1,Masculino
2020-03-21,15 a 19 anos,2,Feminino
2020-03-21,20 a 24 anos,4,Feminino
2020-03-21,20 a 24 anos,4,Masculino
2020-03-21,25 a 29 anos,3,Feminino
2020-03-21,25 a 29 anos,4,Masculino
2020-03-21,30 a 34 anos,7,Feminino
2020-03-21,30 a 34 anos,5,Masculino
2020-03-21,35 a 39 anos,8,Feminino
2020-03-21,35 a 39 anos,10,Masculino
2020-03-21,40 a 44 anos,12,Masculino
2020-03-21,40 a 44 anos,6,Feminino
2020-03-21,45 a 49 anos,5,Feminino
2020-03-21,45 a 49 anos,3,Masculino
2020-03-21,50 a 54 anos,3,Feminino
2020-03-21,50 a 54 anos,11,Masculino
2020-03-21,55 a 59 anos,6,Masculino
2020-03-21,55 a 59 anos,6,Feminino
2020-03-21,60 a 64 anos,4,Feminino
2020-03-21,60 a 64 anos,2,Masculino
2020-03-21,65 a 69 anos,3,Feminino
2020-03-21,65 a 69 anos,3,Masculino
2020-03-21,70 a 74 anos,1,Masculino
2020-03-21,75 a 79 anos,3,Masculino
2020-03-21,80 anos ou mais,2,Feminino
2020-03-21,80 anos ou mais,2,Masculino
2020-03-21,Indefinido,1,Masculino
2020-03-22,0 a 4 anos,1,Feminino
2020-03-22,5 a 9 anos,1,Feminino
2020-03-22,5 a 9 anos,1,Masculino
2020-03-22,15 a 19 anos,2,Feminino
2020-03-22,20 a 24 anos,4,Masculino
2020-03-22,20 a 24 anos,6,Feminino
2020-03-22,25 a 29 anos,6,Masculino
2020-03-22,25 a 29 anos,5,Feminino
2020-03-22,30 a 34 anos,8,Feminino
2020-03-22,30 a 34 anos,7,Masculino
2020-03-22,35 a 39 anos,14,Masculino
2020-03-22,35 a 39 anos,10,Feminino
2020-03-22,40 a 44 anos,7,Feminino
2020-03-22,40 a 44 anos,15,Masculino
2020-03-22,45 a 49 anos,5,Feminino
2020-03-22,45 a 49 anos,5,Masculino
2020-03-22,50 a 54 anos,14,Masculino
2020-03-22,50 a 54 anos,4,Feminino
2020-03-22,55 a 59 anos,8,Masculino
2020-03-22,55 a 59 anos,7,Feminino
2020-03-22,60 a 64 anos,5,Feminino
2020-03-22,60 a 64 anos,3,Masculino
2020-03-22,65 a 69 anos,4,Feminino
2020-03-22,65 a 69 anos,3,Masculino
2020-03-22,70 a 74 anos,1,Feminino
2020-03-22,70 a 74 anos,1,Masculino
2020-03-22,75 a 79 anos,1,Feminino
2020-03-22,75 a 79 anos,4,Masculino
2020-03-22,80 anos ou mais,4,Feminino
2020-03-22,80 anos ou mais,2,Masculino
2020-03-22,Indefinido,1,Masculino
2020-03-23,0 a 4 anos,2,Feminino
2020-03-23,5 a 9 anos,2,Feminino
2020-03-23,5 a 9 anos,1,Masculino
2020-03-23,10 a 14 anos,1,Masculino
2020-03-23,15 a 19 anos,2,Feminino
2020-03-23,20 a 24 anos,6,Feminino
2020-03-23,20 a 24 anos,4,Masculino
2020-03-23,25 a 29 anos,6,Feminino
2020-03-23,25 a 29 anos,6,Masculino
2020-03-23,30 a 34 anos,8,Feminino
2020-03-23,30 a 34 anos,8,Masculino
2020-03-23,35 a 39 anos,16,Masculino
2020-03-23,35 a 39 anos,11,Feminino
2020-03-23,40 a 44 anos,11,Feminino
2020-03-23,40 a 44 anos,17,Masculino
2020-03-23,45 a 49 anos,8,Feminino
2020-03-23,45 a 49 anos,7,Masculino
2020-03-23,50 a 54 anos,15,Masculino
2020-03-23,50 a 54 anos,5,Feminino
2020-03-23,55 a 59 anos,9,Masculino
2020-03-23,55 a 59 anos,9,Feminino
2020-03-23,60 a 64 anos,5,Feminino
2020-03-23,60 a 64 anos,4,Masculino
2020-03-23,65 a 69 anos,5,Feminino
2020-03-23,65 a 69 anos,4,Masculino
2020-03-23,70 a 74 anos,3,Feminino
2020-03-23,70 a 74 anos,2,Masculino
2020-03-23,75 a 79 anos,1,Feminino
2020-03-23,75 a 79 anos,4,Masculino
2020-03-23,80 anos ou mais,4,Feminino
2020-03-23,80 anos ou mais,3,Masculino
2020-03-23,Indefinido,1,Masculino
2020-03-24,0 a 4 anos,2,Feminino
2020-03-24,5 a 9 anos,2,Feminino
2020-03-24,5 a 9 anos,1,Masculino
2020-03-24,10 a 14 anos,1,Masculino
2020-03-24,15 a 19 anos,2,Feminino
2020-03-24,20 a 24 anos,7,Feminino
2020-03-24,20 a 24 anos,4,Masculino
2020-03-24,25 a 29 anos,7,Feminino
2020-03-24,25 a 29 anos,6,Masculino
2020-03-24,30 a 34 anos,11,Feminino
2020-03-24,30 a 34 anos,9,Masculino
2020-03-24,35 a 39 anos,22,Masculino
2020-03-24,35 a 39 anos,16,Feminino
2020-03-24,40 a 44 anos,12,Feminino
2020-03-24,40 a 44 anos,21,Masculino
2020-03-24,45 a 49 anos,9,Feminino
2020-03-24,45 a 49 anos,7,Masculino
2020-03-24,50 a 54 anos,18,Masculino
2020-03-24,50 a 54 anos,7,Feminino
2020-03-24,55 a 59 anos,9,Masculino
2020-03-24,55 a 59 anos,10,Feminino
2020-03-24,60 a 64 anos,5,Feminino
2020-03-24,60 a 64 anos,9,Masculino
2020-03-24,65 a 69 anos,7,Feminino
2020-03-24,65 a 69 anos,5,Masculino
2020-03-24,70 a 74 anos,4,Feminino
2020-03-24,70 a 74 anos,3,Masculino
2020-03-24,75 a 79 anos,1,Feminino
2020-03-24,75 a 79 anos,4,Masculino
2020-03-24,80 anos ou mais,4,Feminino
2020-03-24,80 anos ou mais,3,Masculino
2020-03-24,Indefinido,1,Masculino
2020-03-25,0 a 4 anos,2,Feminino
2020-03-25,5 a 9 anos,1,Masculino
2020-03-25,5 a 9 anos,2,Feminino
2020-03-25,10 a 14 anos,1,Feminino
2020-03-25,10 a 14 anos,1,Masculino
2020-03-25,15 a 19 anos,2,Feminino
2020-03-25,20 a 24 anos,5,Masculino
2020-03-25,20 a 24 anos,9,Feminino
2020-03-25,25 a 29 anos,7,Masculino
