Data,idMunicipio,municipio,qtdConfirmado,tipo,Obitos
2020-02-18,230440,FORTALEZA,1,Confirmado,0
2020-02-19,230440,FORTALEZA,1,Confirmado,0
2020-02-20,230440,FORTALEZA,1,Confirmado,0
2020-02-21,230440,FORTALEZA,1,Confirmado,0
2020-02-22,230440,FORTALEZA,1,Confirmado,0
2020-02-23,230440,FORTALEZA,1,Confirmado,0
2020-02-24,230440,FORTALEZA,1,Confirmado,0
2020-02-25,230440,FORTALEZA,1,Confirmado,0
2020-02-26,230440,FORTALEZA,1,Confirmado,0
2020-02-27,230440,FORTALEZA,1,Confirmado,0
2020-02-28,230440,FORTALEZA,1,Confirmado,0
2020-02-29,230440,FORTALEZA,1,Confirmado,0
2020-03-01,230440,FORTALEZA,1,Confirmado,0
2020-03-02,230440,FORTALEZA,1,Confirmado,0
2020-03-03,230440,FORTALEZA,1,Confirmado,0
2020-03-04,230440,FORTALEZA,1,Confirmado,0
2020-03-05,230440,FORTALEZA,1,Confirmado,0
2020-03-06,230440,FORTALEZA,2,Confirmado,0
2020-03-07,230100,AQUIRAZ,1,Confirmado,0
2020-03-07,230440,FORTALEZA,2,Confirmado,0
2020-03-08,230100,AQUIRAZ,1,Confirmado,0
2020-03-08,230440,FORTALEZA,2,Confirmado,0
2020-03-09,230100,AQUIRAZ,1,Confirmado,0
2020-03-09,230440,FORTALEZA,2,Confirmado,0
2020-03-10,230100,AQUIRAZ,1,Confirmado,0
2020-03-10,230440,FORTALEZA,3,Confirmado,0
2020-03-11,230100,AQUIRAZ,1,Confirmado,0
2020-03-11,230440,FORTALEZA,7,Confirmado,0
2020-03-12,230100,AQUIRAZ,1,Confirmado,0
2020-03-12,230440,FORTALEZA,10,Confirmado,0
2020-03-13,230100,AQUIRAZ,2,Confirmado,0
2020-03-13,230195,BARREIRA,1,Confirmado,0
2020-03-13,230370,CAUCAIA,1,Confirmado,0
2020-03-13,230440,FORTALEZA,20,Confirmado,0
2020-03-13,230445,FORTIM,1,Confirmado,0
2020-03-13,230730,JUAZEIRO DO NORTE,1,Confirmado,0
