Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,422,0,0,1,0,0,0,,CE
2020-03-02,428,0,0,3,2,1,0,0.0,CE
2020-03-03,434,0,0,4,2,1,0,0.0,CE
2020-03-04,437,0,0,7,2,1,0,0.0,CE
2020-03-05,438,0,0,7,2,1,0,0.0,CE
2020-03-06,445,0,0,8,2,1,0,0.0,CE
2020-03-07,449,0,0,12,2,1,0,0.0,CE
2020-03-08,450,0,0,14,2,1,0,0.0,CE
2020-03-09,453,0,0,17,2,1,0,0.0,CE
2020-03-10,460,0,0,17,2,1,0,0.0,CE
2020-03-11,464,0,0,33,2,1,0,0.0,CE
2020-03-12,476,0,0,36,2,1,0,0.0,CE
2020-03-13,501,0,0,38,2,1,0,0.0,CE
2020-03-14,516,0,0,58,3,2,0,0.0,CE
2020-03-15,528,0,0,67,3,2,0,0.0,CE
2020-03-16,601,0,0,104,7,3,0,0.0,CE
2020-03-17,658,0,0,164,25,4,0,0.0,CE
2020-03-18,871,0,1,229,29,4,0,0.0,CE
2020-03-19,1020,0,1,337,56,5,0,0.0,CE
2020-03-20,1258,2,1,500,78,6,0,0.0,CE
2020-03-21,1541,4,1,602,111,6,0,0.0,CE
2020-03-22,1837,10,1,710,148,7,0,0.0,CE
2020-03-23,2341,10,1,766,180,7,0,0.0,CE
2020-03-24,2830,10,1,883,218,8,2,0.917,CE
2020-03-25,3164,12,1,1042,249,8,3,1.205,CE
2020-03-26,3410,12,1,1390,308,9,5,1.623,CE
2020-03-27,3917,12,1,1473,349,10,8,2.292,CE
2020-03-28,4164,12,1,1576,373,11,10,2.681,CE
2020-03-29,4376,12,1,1747,407,11,13,3.194,CE
2020-03-30,4949,12,1,1897,428,13,16,3.738,CE
2020-03-31,5469,12,2,2049,460,14,18,3.913,CE
2020-04-01,5954,12,2,2213,523,16,20,3.824,CE
2020-04-02,6561,12,2,2670,657,21,27,4.11,CE
2020-04-03,7089,12,2,2822,758,23,34,4.485,CE
2020-04-04,7324,12,2,2982,834,24,41,4.916,CE
2020-04-05,7577,12,2,3232,1004,32,45,4.482,CE
2020-04-06,8168,12,5,3496,1121,42,54,4.817,CE
2020-04-07,8779,12,5,3759,1278,42,57,4.46,CE
2020-04-08,9468,13,8,3956,1403,45,61,4.348,CE
2020-04-09,9989,13,9,4159,1502,49,64,4.261,CE
2020-04-10,10304,13,9,4459,1587,54,68,4.285,CE
2020-04-11,10304,13,9,4554,1638,55,68,4.151,CE
Data,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,422,0,0,1,0,0,0,,CE
2020-03-02,428,0,0,3,2,1,0,0.0,CE
2020-03-03,434,0,0,4,2,1,0,0.0,CE
2020-03-04,437,0,0,7,2,1,0,0.0,CE
2020-03-05,438,0,0,7,2,1,0,0.0,CE
2020-03-06,445,0,0,8,2,1,0,0.0,CE
2020-03-07,449,0,0,12,2,1,0,0.0,CE
2020-03-08,450,0,0,14,2,1,0,0.0,CE
2020-03-09,453,0,0,17,2,1,0,0.0,CE
2020-03-10,460,0,0,17,2,1,0,0.0,CE
2020-03-11,464,0,0,33,2,1,0,0.0,CE
2020-03-12,476,0,0,36,2,1,0,0.0,CE
2020-03-13,501,0,0,38,2,1,0,0.0,CE
2020-03-14,516,0,0,58,3,2,0,0.0,CE
2020-03-15,528,0,0,67,3,2,0,0.0,CE
2020-03-16,601,0,0,104,7,3,0,0.0,CE
2020-03-17,658,0,0,164,25,4,0,0.0,CE
2020-03-18,871,0,1,229,29,4,0,0.0,CE
2020-03-19,1020,0,1,337,56,5,0,0.0,CE
2020-03-20,1258,2,1,500,78,6,0,0.0,CE
2020-03-21,1541,4,1,602,111,6,0,0.0,CE
2020-03-22,1837,10,1,710,148,7,0,0.0,CE
2020-03-23,2341,10,1,766,180,7,0,0.0,CE
2020-03-24,2830,10,1,883,218,8,2,0.917,CE
2020-03-25,3164,12,1,1042,249,8,3,1.205,CE
2020-03-26,3410,12,1,1390,308,9,5,1.623,CE
2020-03-27,3917,12,1,1473,349,10,8,2.292,CE
2020-03-28,4164,12,1,1576,373,11,10,2.681,CE
2020-03-29,4376,12,1,1747,407,11,13,3.194,CE
2020-03-30,4949,12,1,1897,428,13,16,3.738,CE
2020-03-31,5469,12,2,2049,460,14,18,3.913,CE
2020-04-01,5954,12,2,2213,523,16,20,3.824,CE
2020-04-02,6561,12,2,2670,657,21,27,4.11,CE
2020-04-03,7089,12,2,2822,758,23,34,4.485,CE
2020-04-04,7324,12,2,2982,834,24,41,4.916,CE
2020-04-05,7577,12,2,3232,1004,32,45,4.482,CE
2020-04-06,8168,12,5,3496,1121,42,54,4.817,CE
2020-04-07,8779,12,5,3759,1278,42,57,4.46,CE
2020-04-08,9468,13,8,3956,1403,45,61,4.348,CE
2020-04-09,9989,13,9,4159,1502,49,64,4.261,CE
2020-04-10,10304,13,9,4459,1587,54,68,4.285,CE
2020-04-11,10304,13,9,4554,1638,55,68,4.151,CE
