Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Taxa de letalidade (%),Estado
2020-03-01,207,468,0,0,2,0,0,0,,CE
2020-03-02,211,474,0,0,4,2,1,0,0.0,CE
2020-03-03,211,480,0,0,5,2,1,0,0.0,CE
2020-03-04,214,483,0,0,8,2,1,0,0.0,CE
2020-03-05,216,484,0,0,8,2,1,0,0.0,CE
2020-03-06,218,491,0,0,9,2,1,0,0.0,CE
2020-03-07,224,495,0,0,13,2,1,0,0.0,CE
2020-03-08,226,496,0,0,15,2,1,0,0.0,CE
2020-03-09,235,499,0,0,18,2,1,0,0.0,CE
2020-03-10,236,506,0,0,18,2,1,0,0.0,CE
2020-03-11,259,510,0,0,34,2,1,0,0.0,CE
2020-03-12,281,522,0,0,38,2,1,0,0.0,CE
2020-03-13,314,547,0,0,40,2,1,0,0.0,CE
2020-03-14,383,562,0,0,60,3,2,0,0.0,CE
2020-03-15,445,574,0,0,69,3,2,0,0.0,CE
2020-03-16,652,648,0,0,105,7,3,0,0.0,CE
2020-03-17,870,707,0,0,165,27,4,0,0.0,CE
2020-03-18,1295,923,0,1,231,31,4,0,0.0,CE
2020-03-19,1715,1076,0,1,340,59,5,0,0.0,CE
2020-03-20,2281,1314,2,1,503,87,6,0,0.0,CE
2020-03-21,2824,1590,4,1,604,120,6,0,0.0,CE
2020-03-22,3336,1867,10,1,712,156,7,0,0.0,CE
2020-03-23,3905,2351,10,1,768,186,7,0,0.0,CE
2020-03-24,4330,2843,10,1,884,223,8,2,0.897,CE
2020-03-25,4708,3186,12,1,1044,254,8,3,1.181,CE
2020-03-26,5027,3453,12,1,1388,313,9,5,1.597,CE
2020-03-27,5284,3939,12,1,1469,354,10,8,2.26,CE
2020-03-28,5492,4179,12,1,1572,379,11,10,2.639,CE
2020-03-29,5654,4390,12,1,1746,413,11,13,3.148,CE
2020-03-30,5960,4943,12,1,1896,434,13,16,3.687,CE
2020-03-31,6143,5452,12,2,2048,467,14,18,3.854,CE
2020-04-01,6369,5932,12,2,2214,529,16,20,3.781,CE
2020-04-02,6563,6527,12,2,2671,663,21,27,4.072,CE
2020-04-03,6790,7051,12,2,2824,765,23,34,4.444,CE
2020-04-04,6951,7272,12,2,2984,841,24,41,4.875,CE
2020-04-05,7044,7515,12,2,3234,1016,32,45,4.429,CE
2020-04-06,7267,8083,12,5,3496,1133,42,54,4.766,CE
2020-04-07,7515,8667,12,5,3758,1290,42,58,4.496,CE
2020-04-08,7659,9328,13,8,3955,1415,45,63,4.452,CE
2020-04-09,7749,9835,13,9,4159,1513,49,67,4.428,CE
2020-04-10,7762,10149,13,9,4468,1601,53,74,4.622,CE
2020-04-11,7799,10149,13,9,4669,1701,55,76,4.468,CE
2020-04-12,7804,10149,13,9,4810,1747,56,76,4.35,CE
