Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,,Taxa de letalidade (%),Estado
2020-03-01,1572,95,16,1,13,1,1,0,63,0.0,CE
2020-03-02,1580,103,16,1,14,1,1,0,71,0.0,CE
2020-03-03,1580,110,17,1,17,1,1,0,75,0.0,CE
2020-03-04,1583,118,20,1,23,1,1,0,99,0.0,CE
2020-03-05,1585,122,22,1,25,1,1,0,114,0.0,CE
2020-03-06,1587,134,24,1,26,2,1,0,121,0.0,CE
2020-03-07,1593,139,29,1,33,3,2,0,134,0.0,CE
2020-03-08,1594,142,35,1,36,3,2,0,149,0.0,CE
2020-03-09,1603,149,38,1,53,3,2,0,158,0.0,CE
2020-03-10,1604,163,42,1,58,4,2,0,178,0.0,CE
2020-03-11,1626,173,47,2,80,8,2,0,194,0.0,CE
2020-03-12,1646,193,55,5,109,10,2,0,210,0.0,CE
2020-03-13,1674,228,63,6,150,26,7,0,241,0.0,CE
2020-03-14,1720,249,70,8,221,45,8,0,269,0.0,CE
2020-03-15,1755,262,94,10,292,62,8,0,310,0.0,CE
2020-03-16,1896,346,117,12,491,104,10,0,369,0.0,CE
2020-03-17,2099,414,147,16,678,148,10,0,441,0.0,CE
2020-03-18,2497,614,195,25,1082,226,13,0,511,0.0,CE
2020-03-19,2877,771,269,27,1429,288,16,0,590,0.0,CE
2020-03-20,3428,1042,398,30,1837,427,22,0,761,0.0,CE
2020-03-21,3929,1324,512,35,2250,553,26,0,916,0.0,CE
2020-03-22,4420,1630,660,40,2620,660,28,0,1060,0.0,CE
2020-03-23,5019,2151,843,44,3085,785,36,0,1285,0.0,CE
2020-03-24,5612,2694,1164,46,3432,913,38,2,1483,0.219,CE
2020-03-25,6115,3120,1473,51,3745,1025,42,3,1675,0.293,CE
2020-03-26,6619,3525,1812,54,3956,1116,46,5,1903,0.448,CE
2020-03-27,6998,4131,2059,56,4064,1199,46,8,2150,0.667,CE
2020-03-28,7253,4432,2269,57,4146,1255,46,10,2369,0.797,CE
2020-03-29,7514,4676,2422,58,4231,1313,46,13,2596,0.99,CE
2020-03-30,7903,5306,2620,62,4371,1419,46,16,2867,1.128,CE
2020-03-31,8271,5889,2774,64,4462,1472,49,19,3075,1.291,CE
2020-04-01,8576,6433,3005,65,4565,1534,49,21,3369,1.369,CE
2020-04-02,8831,7076,3159,66,4635,1588,50,28,3595,1.763,CE
2020-04-03,9147,7637,3299,66,4732,1645,51,35,3835,2.128,CE
2020-04-04,9391,7908,3481,67,4781,1680,53,42,4020,2.5,CE
2020-04-05,9577,8171,3621,67,4815,1701,54,48,4207,2.822,CE
2020-04-06,9971,8815,3807,67,4876,1741,55,57,4435,3.274,CE
2020-04-07,10363,9491,3970,68,4976,1774,55,63,4619,3.551,CE
2020-04-08,10809,10275,4122,69,5016,1791,55,69,4725,3.853,CE
2020-04-09,11109,10894,4239,69,5037,1798,55,75,4765,4.171,CE
2020-04-10,11394,11310,4323,69,5040,1798,55,83,4776,4.616,CE
2020-04-11,11678,11546,4484,69,5049,1800,55,89,4778,4.944,CE
2020-04-12,11859,11708,4625,69,5049,1800,55,91,4778,5.056,CE
2020-04-13,11898,11726,4636,69,5051,1800,55,91,4778,5.056,CE
