Data,Exames realizados,Suspeitos,Em Análise,Inconclusivo,Negativo,Positivo,Municios Afetados,Óbitos,Quantidade analisado,Taxa de letalidade (%),Estado
2020-01-06,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-07,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-08,2918,101,0,0,3,2,2,0,1,0.0,CE
2020-01-09,2918,101,0,0,3,3,2,0,1,0.0,CE
2020-01-10,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-11,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-12,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-13,2918,101,0,0,4,3,2,0,1,0.0,CE
2020-01-14,2918,101,0,0,5,3,2,0,1,0.0,CE
2020-01-15,2918,101,0,0,5,3,2,0,3,0.0,CE
2020-01-16,2918,101,0,0,5,3,2,0,3,0.0,CE
2020-01-17,2918,101,0,0,5,3,2,0,3,0.0,CE
2020-01-18,2918,101,0,0,5,3,2,0,4,0.0,CE
2020-01-19,2918,101,0,0,6,3,2,0,5,0.0,CE
2020-01-20,2919,101,0,0,7,4,2,0,8,0.0,CE
2020-01-21,2919,101,0,0,8,4,2,0,8,0.0,CE
2020-01-22,2919,101,0,0,8,5,3,0,8,0.0,CE
2020-01-23,2919,101,0,0,8,6,3,0,11,0.0,CE
2020-01-24,2919,101,0,0,8,6,3,0,11,0.0,CE
2020-01-25,2919,101,0,0,8,6,3,0,11,0.0,CE
2020-01-26,2919,101,0,0,9,7,4,0,11,0.0,CE
2020-01-27,2919,101,0,0,10,7,4,0,11,0.0,CE
2020-01-28,2919,101,0,0,10,7,4,0,11,0.0,CE
2020-01-29,2919,101,0,0,10,7,4,0,11,0.0,CE
2020-01-30,2922,101,0,0,12,7,4,0,11,0.0,CE
2020-01-31,2922,101,0,0,12,7,4,0,12,0.0,CE
2020-02-01,2922,101,1,0,12,7,4,0,14,0.0,CE
2020-02-02,2922,101,1,0,14,7,4,0,18,0.0,CE
2020-02-03,2922,101,1,0,15,8,4,0,19,0.0,CE
2020-02-04,2924,101,1,0,17,8,4,0,21,0.0,CE
2020-02-05,2924,101,1,0,19,8,4,0,21,0.0,CE
2020-02-06,2924,101,1,0,19,8,4,0,21,0.0,CE
2020-02-07,2924,102,1,0,19,10,4,0,21,0.0,CE
2020-02-08,2924,102,1,0,20,11,4,0,21,0.0,CE
2020-02-09,2924,102,1,0,21,12,4,0,22,0.0,CE
2020-02-10,2924,102,1,0,21,12,4,0,22,0.0,CE
2020-02-11,2924,102,1,0,21,13,4,0,25,0.0,CE
2020-02-12,2924,102,1,0,21,14,4,0,28,0.0,CE
2020-02-13,2925,102,1,0,21,14,4,0,28,0.0,CE
2020-02-14,2926,102,2,0,21,16,4,0,30,0.0,CE
2020-02-15,2926,102,3,0,23,16,4,0,32,0.0,CE
2020-02-16,2926,102,3,0,23,17,4,0,33,0.0,CE
2020-02-17,2926,102,3,0,25,19,4,0,36,0.0,CE
2020-02-18,2926,102,3,0,25,20,4,0,37,0.0,CE
2020-02-19,2926,102,3,0,27,20,4,0,39,0.0,CE
2020-02-20,2927,102,3,0,29,21,5,0,45,0.0,CE
