Data,Exames realizados,Suspeitos,Positivo,Municios Afetados,Recuperados,Óbitos,Taxa de letalidade (%),Taxa de recuperacao final (%),Taxa de óbito final (%),Estado
2020-01-01,1242,72,133,4,0,0,0.0,0.0,0.0,CE
2020-01-02,1242,72,133,4,0,0,0.0,0.0,0.0,CE
2020-01-03,1242,72,133,4,0,0,0.0,0.0,0.0,CE
2020-01-04,1242,72,133,4,0,0,0.0,0.0,0.0,CE
2020-01-05,1242,72,134,4,0,0,0.0,0.0,0.0,CE
2020-01-06,1242,73,134,4,0,0,0.0,0.0,0.0,CE
2020-01-07,1244,73,134,4,0,0,0.0,0.0,0.0,CE
2020-01-08,1244,73,134,4,0,0,0.0,0.0,0.0,CE
2020-01-09,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-10,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-11,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-12,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-13,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-14,1244,73,135,4,0,0,0.0,0.0,0.0,CE
2020-01-15,1244,75,135,4,0,0,0.0,0.0,0.0,CE
2020-01-16,1244,75,135,4,0,0,0.0,0.0,0.0,CE
2020-01-17,1244,75,135,4,0,0,0.0,0.0,0.0,CE
2020-01-18,1244,76,135,4,0,0,0.0,0.0,0.0,CE
2020-01-19,1244,77,135,4,0,0,0.0,0.0,0.0,CE
2020-01-20,1245,80,136,4,1,0,0.0,100.0,0.0,CE
2020-01-21,1245,80,136,4,1,0,0.0,100.0,0.0,CE
2020-01-22,1245,80,137,5,1,0,0.0,100.0,0.0,CE
2020-01-23,1245,81,137,5,1,0,0.0,100.0,0.0,CE
2020-01-24,1245,81,137,5,1,0,0.0,100.0,0.0,CE
2020-01-25,1245,81,137,5,1,0,0.0,100.0,0.0,CE
2020-01-26,1245,81,138,6,1,0,0.0,100.0,0.0,CE
2020-01-27,1245,81,138,6,1,0,0.0,100.0,0.0,CE
2020-01-28,1245,81,138,6,1,0,0.0,100.0,0.0,CE
2020-01-29,1245,81,138,6,1,0,0.0,100.0,0.0,CE
2020-01-30,1248,82,138,6,1,0,0.0,100.0,0.0,CE
2020-01-31,1248,83,138,6,1,0,0.0,100.0,0.0,CE
2020-02-01,1248,86,138,6,1,0,0.0,100.0,0.0,CE
2020-02-02,1248,90,138,6,1,0,0.0,100.0,0.0,CE
2020-02-03,1248,91,139,6,1,0,0.0,100.0,0.0,CE
2020-02-04,1250,93,139,6,2,0,0.0,100.0,0.0,CE
2020-02-05,1251,95,139,6,2,0,0.0,100.0,0.0,CE
2020-02-06,1251,97,139,6,2,0,0.0,100.0,0.0,CE
2020-02-07,1251,97,141,6,2,0,0.0,100.0,0.0,CE
2020-02-08,1252,97,141,6,3,0,0.0,100.0,0.0,CE
2020-02-09,1252,98,142,6,3,0,0.0,100.0,0.0,CE
2020-02-10,1252,98,142,6,3,0,0.0,100.0,0.0,CE
2020-02-11,1252,101,143,6,3,0,0.0,100.0,0.0,CE
2020-02-12,1252,104,144,6,3,0,0.0,100.0,0.0,CE
2020-02-13,1253,104,144,6,4,0,0.0,100.0,0.0,CE
2020-02-14,1253,107,146,6,4,0,0.0,100.0,0.0,CE
2020-02-15,1253,109,146,6,4,0,0.0,100.0,0.0,CE
2020-02-16,1253,109,147,6,4,0,0.0,100.0,0.0,CE
2020-02-17,1253,112,148,6,4,0,0.0,100.0,0.0,CE
2020-02-18,1253,113,149,6,4,0,0.0,100.0,0.0,CE
2020-02-19,1253,115,149,6,4,0,0.0,100.0,0.0,CE
2020-02-20,1254,121,150,7,4,0,0.0,100.0,0.0,CE
2020-02-21,1254,125,151,7,4,0,0.0,100.0,0.0,CE
2020-02-22,1254,128,156,9,4,0,0.0,100.0,0.0,CE
2020-02-23,1254,135,158,10,4,0,0.0,100.0,0.0,CE
2020-02-24,1258,140,159,10,4,0,0.0,100.0,0.0,CE
2020-02-25,1258,149,161,11,4,0,0.0,100.0,0.0,CE
2020-02-26,1258,153,161,11,4,0,0.0,100.0,0.0,CE
2020-02-27,1258,161,162,11,4,0,0.0,100.0,0.0,CE
2020-02-28,1258,172,163,11,4,0,0.0,100.0,0.0,CE
2020-02-29,1258,179,164,11,4,0,0.0,100.0,0.0,CE
2020-03-01,1260,194,168,11,4,0,0.0,100.0,0.0,CE
2020-03-02,1267,207,173,11,6,0,0.0,100.0,0.0,CE
2020-03-03,1267,222,175,11,6,0,0.0,100.0,0.0,CE
2020-03-04,1269,246,177,11,6,0,0.0,100.0,0.0,CE
2020-03-05,1269,267,181,11,6,0,0.0,100.0,0.0,CE
2020-03-06,1269,284,183,12,6,0,0.0,100.0,0.0,CE
2020-03-07,1274,301,185,12,6,0,0.0,100.0,0.0,CE
2020-03-08,1277,322,189,14,6,0,0.0,100.0,0.0,CE
2020-03-09,1284,341,196,15,6,0,0.0,100.0,0.0,CE
2020-03-10,1284,381,203,16,6,0,0.0,100.0,0.0,CE
2020-03-11,1304,408,208,17,6,0,0.0,100.0,0.0,CE
2020-03-12,1323,443,225,17,6,0,0.0,100.0,0.0,CE
2020-03-13,1349,500,249,20,7,0,0.0,100.0,0.0,CE
2020-03-14,1400,553,284,22,7,0,0.0,100.0,0.0,CE
2020-03-15,1456,617,325,24,7,0,0.0,100.0,0.0,CE
2020-03-16,1663,750,390,27,10,0,0.0,100.0,0.0,CE
2020-03-17,1866,870,463,27,11,0,0.0,100.0,0.0,CE
2020-03-18,2233,1098,598,32,14,0,0.0,100.0,0.0,CE
2020-03-19,2658,1303,700,35,18,0,0.0,100.0,0.0,CE
2020-03-20,3216,1697,912,42,20,0,0.0,100.0,0.0,CE
2020-03-21,3751,2079,1090,43,25,0,0.0,100.0,0.0,CE
2020-03-22,4230,2452,1246,49,26,0,0.0,100.0,0.0,CE
2020-03-23,4923,3025,1442,53,30,0,0.0,100.0,0.0,CE
2020-03-24,5660,3461,1670,60,39,3,0.18,92.857,7.143000000000001,CE
2020-03-25,6262,3832,1878,66,44,5,0.266,89.796,10.203999999999994,CE
2020-03-26,6853,4157,2071,74,51,8,0.386,86.441,13.558999999999997,CE
2020-03-27,7359,4396,2228,78,64,11,0.494,85.333,14.667000000000002,CE
2020-03-28,7681,4605,2350,80,72,13,0.553,84.706,15.293999999999997,CE
2020-03-29,7952,4816,2469,82,76,17,0.689,81.72,18.28,CE
2020-03-30,8494,5102,2628,85,82,21,0.799,79.612,20.388000000000005,CE
